lemma	count	gloss
καρπός	66	fruit, result, gain
ἐντολή	66	an ordinance, injunction, command
πρεσβύτερος	65	elder
φημί	65	I say
εἴτε	65	and if, whether
δαιμόνιον	63	an evil-spirit, demon
Ἱεροσόλυμα	63	Jerusalem
θρόνος	62	a throne, seat
γραμματεύς	62	a scribe, town-clerk, man of learning
ἐρωτάω	62	I ask, question, request
δοκέω	62	I think, seem, appear, it seems
θέλημα	62	will, wish, desire
ἔξω	62	without, outside
ὄρος	62	a mountain
νύξ	61	the night, night-time
ὧδε	61	here
ἀγαπητός	61	loved, beloved
δοξάζω	61	I glorify, honor, bestow glory on
κηρύσσω	61	I proclaim, herald, preach
Γαλιλαία	61	Galilee
ἱμάτιον	60	outer garment
ὑπάρχω	60	I am, exist, am in possession
προσκυνέω	60	I worship
ἤδη	60	now, already
συνάγω	59	I gather together
Δαυίδ	59	David
εὐθύς	59	straight, immediately
χαρά	59	joy, gladness
ἀσπάζομαι	59	I greet, salute, pay my respects to
διδάσκαλος	58	a teacher
θεωρέω	58	I behold, look at, experience
λίθος	58	a stone
μηδέ	57	and not, not even
ἐπερωτάω	56	I interrogate, question, demand of
συναγωγή	56	an assembly, congregation, synagogue
δέχομαι	56	I take, receive, accept, welcome
τοιοῦτος	56	of such a kind, such
μέσος	56	middle, in the middle
λοιπός	55	left, left behind, the remainder
τρίτος	55	third
ἀρχή	55	ruler, beginning
κράζω	55	I cry aloud, shriek
Πιλᾶτος	55	Pilate
εὐαγγελίζω	54	I bring good news, preach good tidings
δεξιός	54	on the right hand, right hand, right
ὅπως	53	how, in order that, so that
χρόνος	53	time, a particular time, season
διό	53	wherefore
οὐχί	53	by no means, not at all
ἐλπίς	53	hope, expectation
ἔσχατος	52	last, at the last, finally
πείθω	52	I persuade, urge
σπείρω	52	I sow, spread, scatter
ἐπαγγελία	52	a promise
παιδίον	52	a little child, an infant
σοφία	51	wisdom
τυφλός	50	blind
κακός	50	bad, evil
παραβολή	50	a parable, comparison
ποῦ	50	where, whither
γλῶσσα	50	the tongue, a language, nation
μακάριος	50	happy, blessed
παραλαμβάνω	49	I take, receive
ἄρα	49	then, therefore, since
γραφή	49	a writing, passage of scripture, the scriptures
ἔτος	49	a year
χρεία	49	need, necessity, business
ἔρημος	48	deserted, desolate, a desert
ἔμπροσθεν	48	in front, before the face
ἀποδίδωμι	48	I give back, return, sell
φανερόω	48	I make clear, visible, or manifest
οὐκέτι	47	no longer, no more
κρίσις	47	judging, divine judgment
πρό	47	before
φόβος	47	fear, terror, reverence
ἁμαρτωλός	47	sinning, sinful, a sinner
προσφέρω	47	I bring to, offer
ἄχρι	47	as far as, up to, until
κρατέω	47	I lay hold of, obtain
φυλακή	47	a watching, guard, prison, imprisonment
μικρός	46	little, small
σταυρόω	46	I crucify
θηρίον	46	a wild beast, animal
σωτηρία	46	deliverance, salvation
οὐαί	46	woe!, alas!
ὅμοιος	45	like, similar to
ἀπαγγέλλω	45	I report, bring a report, announce
καθίζω	45	I set, make to sit
θλῖψις	45	persecution, affliction, distress
διώκω	45	I pursue, persecute
ναός	45	a temple, shrine
κατοικέω	44	I dwell in, settle in, inhabit
δεύτερος	44	second, in the second place, for the second time
ἱερός	44	sacred, holy
ἐπιγινώσκω	44	I come to know, discern, recognize
Ἰουδαία	44	Judea
Ἰούδας	44	Judah, Judas, Jude
σπέρμα	43	seed, offspring
φωνέω	43	I crow, shout, summon
Ἡρῴδης	43	Herod
θαυμάζω	43	I wonder, admire
γενεά	43	a generation
σεαυτοῦ	43	of yourself
θεραπεύω	43	I care for, attend, serve, heal
λύω	42	I loose, untie, release, destroy
Ἰάκωβος	42	James
καινός	42	fresh, new
πάσχω	42	I am acted upon, suffer
ἀνάστασις	42	a rising again, resurrection
μέρος	42	a part, portion
ἁμαρτάνω	42	I sin
χωρίς	42	apart from, without
ἐγγίζω	42	I come near, approach
σήμερον	41	today, now
παρίστημι	41	I bring, present, come up to and stand by
τιμή	41	a price, honor
πάντοτε	41	always, at all times
ἐργάζομαι	41	I word, trade, do
διέρχομαι	41	I pass through, spread a report
ἄξιος	41	worthy, worthy of, deserving
ὀλίγος	41	small, brief, few, soon
εὐλογέω	41	I bless
μισέω	40	I hate, detest
ἱκανός	40	sufficient, worthy, many, much
λογίζομαι	40	I reckon, count, decide
οἰκοδομέω	40	I build, build up, edify
μνημεῖον	40	a tomb, sepulcher
ἑτοιμάζω	40	I make ready, prepare
τέσσαρες	40	four
τέλος	40	an end, purpose, tax
κλαίω	40	I weep, weep for, mourn
δικαιόω	39	I make righteous, defend the cause of, justify
ἅπτω	39	I kindle, light
θύρα	39	a door, opportunity
πλανάω	39	I lead astray, deceive
ἐπιτίθημι	39	I put, place upon, lay on
πρόβατον	39	a sheep
περισσεύω	39	I exceed, am left over
πράσσω	38	I do, fare, require
πέντε	38	five
ἐπιθυμία	38	desire, eagerness for, inordinate desire, lust
ὑποτάσσω	38	I place under, subject to
εὐχαριστέω	38	I thank, give thanks
ἄρχων	37	a ruler, prince, leader
διακονέω	37	I wait at table, serve
πειράζω	37	I try, tempt, test
βούλομαι	37	I will, intend, desire
ἐμαυτοῦ	37	of myself
μαρτυρία	37	witness, evidence, testimony
Σατανᾶς	36	an adversary, Satan
οὖς	36	the ear
ὀργή	36	anger, wrath, passion
περιτομή	36	circumcision
ἄρτι	36	now, just now
ἐπιστρέφω	36	I turn back to
ὥσπερ	36	just as, as
καλῶς	36	well, nobly, rightly
παραγίνομαι	36	I appear, come, arrive at
ἀγρός	36	a field, the country
Φίλιππος	36	Philip
προσευχή	36	prayer, a place for prayer
καυχάομαι	36	I boast, glory
ὑποστρέφω	35	I turn back, return
μάρτυς	35	a witness
Ἰωσήφ	35	Joseph
εὐθέως	35	immediately, soon
ὀπίσω	35	behind, after
ὀφείλω	35	I owe, ought
διάβολος	35	slanderous, the Slanderer, the Devil
βλασφημέω	34	I speak evil against, blaspheme
μήτε	34	nor, neither, not even
μετανοέω	34	I repent, change my mind
ἀσθενέω	34	I am weak, sick
διακονία	34	waiting at table, service, ministration
βιβλίον	34	a papyrus roll
οἶνος	34	wine
μέλος	34	a limb, member
πτωχός	34	poor, destitute
ναί	33	yes, certainly, even so
ἀρνέομαι	33	I deny, repudiate
ἐκπορεύομαι	33	I journey out, come forth
ποῖος	33	of what sort
διαθήκη	33	a covenant, will, testament
δείκνυμι	33	I point out, show
ἀναγινώσκω	32	I read
ἅπας	32	all, the whole
ἐλεάω	32	I have pity, show mercy
ἐχθρός	32	hated, hostile, an enemy
ἀκάθαρτος	32	unclean, impure
ἥλιος	32	the sun, sunlight
ὑπομονή	32	endurance, steadfastness
παραγγέλλω	32	I notify, command, charge
δυνατός	32	powerful, able, possible
παρρησία	31	freedom, confidence
καθαρίζω	31	I make clean
φυλή	31	a tribe, race
ἄνεμος	31	the wind
πλήν	31	however, nevertheless
ἔξεστι(ν)	31	it is permitted, lawful, possible
φυλάσσω	31	I keep, guard, observe
ἐλπίζω	31	I hope, hope for, expect
πλῆθος	31	a multitude
ποτήριον	31	a drinking cup
φαίνω	31	I shine, appear, seem
ἱερεύς	31	a priest
ὁμοίως	31	in like manner
συνείδησις	30	the conscience
ἐπικαλέω	30	I call by an additional name, appeal to
σκότος	30	darkness
ἐγγύς	30	near
ἀγοράζω	30	I buy
σκανδαλίζω	30	I cause to stumble
συνέρχομαι	30	I come or go with, accompany, assemble
διδαχή	30	teaching, doctrine
ἴδε	30	See! Lo! Behold! Look!
ἀρνίον	30	a lamb
γνῶσις	29	knowledge, doctrine, wisdom
ἱερόν	29	a temple
παράκλησις	29	exhortation, entreaty, encouragement, comfort
φεύγω	29	I flee, escape, shun
μάχαιρα	29	a sword
φίλος	29	friendly, a friend
προσκαλέομαι	29	I summon
πάσχα	29	the feast of Passover, the Passover lamb
ἰσχυρός	29	strong, mighty, powerful
ἐπιτιμάω	29	I rebuke, chide, admonish, warn
Ἠλίας	29	Elijah
παρέρχομαι	29	I pass by
Καῖσαρ	29	Caesar
γαμέω	29	I marry
διάκονος	29	a waiter, servant, administrator
πόθεν	29	whence
μισθός	29	wages, reward
ποτέ	29	at one time or other
Βαρναβᾶς	28	Barnabas
προφητεύω	28	I foretell, prophesy
θυσία	28	a sacrifice
Μαρία	28	Mary, Miriam
ἡγέομαι	28	I lead, think
πλούσιος	28	rich
ἰσχύω	28	I am strong, able
νικάω	28	I conquer, overcome
χώρα	28	region, land, fields
τελέω	28	I end, accomplish, pay
θυγάτηρ	28	a daughter
ἐνδύω	28	I put on, clothe
ἀδικέω	28	I act unjustly towards
ἁγιάζω	28	I make holy, sanctify
ἀληθινός	28	true, real, genuine
βαστάζω	27	I carry, carry away, bear
ἥκω	27	I have come, am present
Ἰακώβ	27	Jacob
ἔλεος	27	pity, mercy
κρίμα	27	a judgment, verdict, lawsuit
σταυρός	27	a cross
καταργέω	27	I bring to naught, sever, abolish
ἐκχέω	27	I pour out, shed
κώμη	27	a village
πόσος	27	how much, how great, how many
ἐκεῖθεν	27	thence, from that place
καθαρός	26	clean, pure, unstained
χήρα	26	a widow
ἀληθής	26	unconcealed, true
μυστήριον	26	anything hidden, a mystery
ἰάομαι	26	I heal
πνευματικός	26	spiritual
Μαριάμ	26	Miriam
οὔπω	26	not yet
ἀποκαλύπτω	26	I uncover, bring to light, reveal
ἐπεί	26	after, for, since, otherwise
δουλεύω	26	I am a slave, am subject to, obey
στρατιώτης	26	a soldier
φρονέω	26	I think, judge, observe
ὀμνύω	26	I swear, take an oath
ἀσθενής	26	weak, infirm, sick
ὁμολογέω	26	I confess, profess, acknowledge, praise
λυπέω	26	I pain, grieve, vex
Ἕλλην	25	a Hellene, a Greek
ἀναβλέπω	25	I look up, recover my sight
δένδρον	25	a tree
μανθάνω	25	I learn, ascertain
ἀδικία	25	unrighteousness
κελεύω	25	I command, order
σός	25	yours, thy, thine
ἀδελφή	25	a sister
πορνεία	25	fornication, idolatry
μήποτε	25	lest at any time, lest, perhaps
νεφέλη	25	a cloud
οὗ	25	where, whither, when
φιλέω	25	I love, kiss
πάρειμι	25	I am present, am near
λευκός	25	white, bright
Αἴγυπτος	25	Egypt
συνίημι	25	I consider, understand
ἑορτή	25	a festival, feast
δέκα	25	ten
Τιμόθεος	24	Timothy
παῖς	24	a boy or girl child
νοῦς	24	the mind, reasoning faculty
γνωρίζω	24	I make known, declare, know
ἀκοή	24	hearing, faculty of hearing, ear
πίμπλημι	24	I fill, am fulfilled
ἀσθένεια	24	want of strength, weakness, illness
κεῖμαι	24	I lie, recline, am laid
ἀναιρέω	24	I take up, abolish, murder
παρουσία	24	presence, a coming, arrival, advent
ἐπιστολή	24	a letter, dispatch, epistle
σωτήρ	24	a savior, deliverer, preserver
ἀστήρ	24	a star
προσέχω	24	I pay attention to, devote myself to
σκεῦος	23	a vessel to contain liquid, utensil, tackle
κοιλία	23	belly, womb, the inner man
ἐλεύθερος	23	free, delivered from obligation
ἐκλεκτός	23	chosen, elect, choice, select
ἀμπελών	23	a vineyard
εἰκών	23	an image, likeness, bust
νέος	23	young, new, fresh
κωλύω	23	I prevent, hinder
καταλείπω	23	I leave behind, abandon
χαρίζομαι	23	I show favor to, forgive
πεινάω	23	I am hungry, needy
ἄπιστος	23	unbelieving, incredulous, unchristian, unbeliever
ζῷον	23	an animal
περιβάλλω	23	I cast around, clothe
διότι	23	on this account, because, for
ἀνάγω	23	I lead up, put to sea, set sail
μιμνῄσκομαι	23	I remember, recall
κοπιάω	23	I grow weary, toil
τελειόω	23	I complete, accomplish, make perfect
θυσιαστήριον	23	an altar
χιλιάς	23	a thousand
πέραν	23	over, beyond
θεάομαι	22	I see, behold, contemplate, visit
Ἠσαΐας	22	Isaiah
πλοῦτος	22	riches, wealth
κἀκεῖνος	22	and he, she, it, and that
συνέδριον	22	a council, the Sanhedrin
πληγή	22	a blow, stripe, wound
καθεύδω	22	I sleep, am sleeping
κατεργάζομαι	22	I work out, produce, accomplish
γρηγορέω	22	I am awake, am vigilant, watch
μετάνοια	22	repentance, a change of mind
ἀντί	22	instead of, for
τεσσεράκοντα	22	forty
δοκιμάζω	22	I put to the test, prove, examine
κατηγορέω	22	I accuse, charge, prosecute
Μακεδονία	22	Macedonia
ἐκλέγομαι	22	I choose, elect
ἀγνοέω	22	I do not know, am ignorant of
πωλέω	22	I sell
θερίζω	21	I reap, gather
μηκέτι	21	no longer
τιμάω	21	I value at a price, honor
χιλίαρχος	21	a military tribune
ἐνεργέω	21	I work, accomplish, am operative
εὐδοκέω	21	I am resolved, well-pleased
διδασκαλία	21	instruction, teaching
βασιλεύω	21	I rule, reign, reign over
αὐξάνω	21	I cause to increase, become greater, grow
καθίστημι	21	I set, establish, appoint, conduct
ὑπακούω	21	I listen, obey
στρέφω	21	I turn, am converted, change
λατρεύω	21	I serve, worship
ἐφίστημι	21	I stand by, am urgent, befall one, impend
τελώνης	21	a collector of taxes
μνημονεύω	21	I remember, make mention of
πειρασμός	21	trial, testing, temptation
ἐπίγνωσις	20	knowledge, discernment, recognition
ἀργύριον	20	silver, a shekel, money in general
ἰχθύς	20	a fish
νηστεύω	20	I fast
Ἰσαάκ	20	Isaac
ἕνεκεν	20	for the sake of, on account of, wherefore
ὑψόω	20	I lift up, exalt
μαρτύριον	20	witness, evidence, testimony
ὑπηρέτης	20	a servant, an attendant
γονεύς	20	a parent
ὡσεί	20	as if, as it were, like, about
γέ	20	at least, indeed, really
αἰτία	20	a cause, reason, charge
τρέχω	20	I run, exercise myself
νυνί	20	now, already, at present
σκηνή	20	a tent, tabernacle
ἡγεμών	20	a governor
ἀκροβυστία	20	foreskin
τοσοῦτος	20	so great
προάγω	20	I lead forth, go before
γένος	20	offspring, family, race, kind
ξύλον	20	a staff, cross, anything made of wood
κοινωνία	19	participation, communion, fellowship
ἐπάνω	19	on the top, above, superior to
παρατίθημι	19	I set before, serve, entrust to
σοφός	19	wise
ἀπέχω	19	I have in full, am far, it is enough
παράπτωμα	19	a falling away, sin
τέλειος	19	perfect, full-grown
μήν	19	a month; certainly
ἐπιλαμβάνομαι	19	I seize, take hold of
παλαιός	19	old, ancient, worn out
ἐπαίρω	19	I raise, lift up
κριτής	19	a judge
ἐπουράνιος	19	heavenly, celestial
προφητεία	19	prophecy
γεωργός	19	a worker of the soil, husbandman, vine-dresser
διακρίνω	19	I distinguish, discern, doubt, hesitate
κτίσις	19	creation, creature, institution
δῶρον	19	a gift, present
πότε	19	when, at what time
βάπτισμα	19	the rite or ceremony of baptism
κρείττων	19	stronger, more excellent
μεριμνάω	19	I am anxious, distracted
κρύπτω	19	I hide, conceal, lay up
καταγγέλλω	18	I declare openly, preach
ἀληθῶς	18	truly, really, certainly
πόλεμος	18	a war, battle, strife
μέχρι(ς)	18	as far as, until
ἐπιβάλλω	18	I throw upon, lay, strike upon
βλασφημία	18	abusive or scurrilous language, blasphemy
θυμός	18	an outburst of passion, wrath
παραχρῆμα	18	instantly, immediately
ἀριθμός	18	a number, total
κοιμάομαι	18	I fall asleep, am asleep
φανερός	18	apparent, clear, visible, manifest, clearly
Ἀντιόχεια	18	Antioch
δέησις	18	supplication, prayer
κενός	18	empty, vain, hollow
πυλών	18	a large gate, a gateway, porch
πολλάκις	18	many times, often
τίκτω	18	I bear, bring forth, produce
κόπος	18	trouble, toil, labor
Ἀσία	18	roughly the western third of Asia Minor
ἀπώλεια	18	destruction, ruin, loss
οἰκοδομή	18	the act of building, a building, edification
κληρονομέω	18	I inherit, obtain
προστίθημι	18	I put to, add, do again
εἰσπορεύομαι	18	I journey into, go into
ποιμήν	18	a shepherd
στέφανος	18	a crown, garland
ἐπιτρέπω	18	I allow, permit
ῥύομαι	17	I rescue
νίπτω	17	I wash
ἕτοιμος	17	ready, prepared
ἑκατοντάρχης	17	a centurion
ἄφεσις	17	deliverance, pardon, complete forgiveness
μήτι	17	if not, unless
ποταμός	17	a river, torrent
ἐπαύριον	17	tomorrow
οὔ	17	no, not
περιτέμνω	17	I circumcise
καταλύω	17	I break up, overthrow, unharness, find a lodging
χάρισμα	17	an undeserved favor
ἑκατόν	17	one hundred
σκοτία	17	darkness
ἀποκάλυψις	17	an unveiling, uncovering, revealing
βρῶμα	17	food of any kind
ὑποκριτής	17	a hypocrite, dissembler
θησαυρός	17	a treasure, store
ἀνάγκη	17	necessity, constraint, compulsion
κερδαίνω	17	I gain, win, avoid loss
κρυπτός	17	hidden, secret
ὑπομένω	17	I remain behind, endure
ὡσαύτως	17	likewise
πλήρωμα	17	fullness, fulfillment, completion
ἀρέσκω	17	I please, serve
ῥίζα	17	a root, that which comes from the root
κατέχω	17	I hold fast, bind, restrain
χρυσοῦς	17	golden
ἐξίστημι	17	I astonish, am astonished
ὦ	17	O, an exclamation
πλησίον	17	near, nearby, a neighbor
ἵππος	17	a horse
ἐλέγχω	17	I rebuke, expose
ταράσσω	17	I agitate, stir up, trouble
ἐμβαίνω	17	I embark
Καισάρεια	17	Caesarea
λύπη	16	pain, grief
πλήρης	16	full
κακῶς	16	badly, evilly
ἐργάτης	16	a field-laborer, workman
γάμος	16	a marriage, wedding, wedding-feast
πάθημα	16	suffering, passion
ἀνακρίνω	16	I examine, inquire into
ἐκτείνω	16	I stretch out, cast forth
προσδοκάω	16	I expect, await
ἐπιθυμέω	16	I long for, covet, lust after
δεῖ	16	it is necessary, inevitable
ζῆλος	16	eagerness, zeal, rivalry
Καφαρναούμ	16	Capernaum
τροφή	16	food, nourishment
σφραγίς	16	a signet-ring, impression of a seal, the proof
νυμφίος	16	a bridegroom
δεῖπνον	16	a dinner, an afternoon or evening meal
κλείω	16	I shut, shut up
ἔπειτα	16	then, thereafter, afterwards
ὑστερέω	16	I am lacking, fall short, suffer need
οὐδέποτε	16	never
παρέχω	16	I offer, provide
διαλογίζομαι	16	I reason, debate, consider
δηνάριον	16	a denarius
συκῆ	16	a fig-tree
τέρας	16	a wonder, portent
κατακρίνω	16	I condemn
συλλαμβάνω	16	I seize, apprehend, become pregnant
ἀθετέω	16	I annul
Ἔφεσος	16	Ephesus
διψάω	16	I thirst for, desire earnestly
διατάσσω	16	I give orders to, prescribe
κἄν	16	and if, even if
κλέπτης	16	a thief
δέσμιος	16	one bound, a prisoner
τολμάω	16	I dare, endure, am bold
εὐλογία	16	adulation, praise, blessing
ἀνέχομαι	15	I endure, bear with
ποτίζω	15	I cause to drink, give to drink
τράπεζα	15	a table for food or business
ἐπαγγέλλομαι	15	I promise, profess
γυμνός	15	wearing only the under-garment, bare
γνωστός	15	known, an acquaintance
νομίζω	15	I think, suppose
κληρονόμος	15	an heir, inheritor
πέτρα	15	rock
κτίζω	15	I create, form, shape, make
Σαῦλος	15	Saul, the apostle
ἐπιμένω	15	I remain, tarry, persist in
γεύομαι	15	I taste, experience
ὁμοιόω	15	I make like, liken, compare
σαλεύω	15	I shake, excite
τύπος	15	a figure, model, type
ὅθεν	15	whence, wherefore
σκάνδαλον	15	a snare, stumbling-block
ἀπάγω	15	I lead, carry, take away
διαμαρτύρομαι	15	I give solemn evidence, testify solemnly
εὐσέβεια	15	piety, godliness
παρθένος	15	a virgin
θεμέλιος	15	belonging to the foundation
ὠφελέω	15	I help, benefit, do good
σφραγίζω	15	I set a seal upon
ἀνομία	15	lawlessness, iniquity
προλέγω	15	I forewarn
θρίξ	15	a hair
δέρω	15	I flay, flog, scourge, beat
ῥαββί	15	Rabbi, my master, teacher
παύω	15	I cause to cease
οἰκουμένη	15	the inhabited (Roman) world
εὐχαριστία	15	thankfulness, gratitude
Ἰορδάνης	15	the Jordan
Δαμασκός	15	Damascus
περισσότερος	15	greater, more
δεσμός	15	a bond, chain
Λάζαρος	15	Lazarus, Eliezer
